sequence,meridian,range,township,sheet,status,rows,index_files,index_multi_name_pct,even_quarters_with_file_pct,pages,settlement_era_proxy,rail_arrival,cpr_belt,near_reserve,band,infill_zone,lon,lat,note
169,W3,4,25,R04,names-only,144,54,54.0,75.0,12,1901-05,1909.0,no CPR land,False,T25-36,,-106.4929,51.1398,
170,W3,4,55,R04,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-106.5267,53.7586,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
171,W3,7,1,R07,names-only,144,98,32.0,71.0,13,no proxy,,no CPR land,False,T1-12 (south),A,-106.8747,49.0435,
172,W3,7,4,R07,names-only,144,114,46.0,75.0,12,1911+,1929.0,no CPR land,False,T1-12 (south),A,-106.8809,49.3056,
173,W3,7,7,R07,names-only,144,122,75.0,88.0,20,1906-10,1914.0,no CPR land,False,T1-12 (south),A,-106.8849,49.5672,
174,W3,7,10,R07,names-only,144,124,52.0,88.0,12,1906-10,1935.0,no CPR land,False,T1-12 (south),A,-106.8849,49.8292,
175,W3,7,13,R07,names-only,144,119,25.0,89.0,12,1906-10,1922.0,some CPR,False,T13-24,A,-106.8922,50.0914,
176,W3,7,16,R07,names-only,144,125,28.0,86.0,12,pre-1890,1882.0,no CPR land,False,T13-24,A,-106.8984,50.3537,
177,W3,7,19,R07,names-only,144,108,55.0,85.0,19,pre-1890,1882.0,no CPR land,False,T13-24,A,-106.905,50.6158,
178,W3,7,22,R07,names-only,144,79,51.0,81.0,11,1906-10,1914.0,no CPR land,False,T13-24,A,-106.9049,50.8779,
179,W3,7,25,R07,names-only,144,65,38.0,89.0,12,1901-05,1915.0,no CPR land,False,T25-36,,-106.9114,51.1398,
180,W3,7,46,R07,names-only,144,48,21.0,39.0,12,1890s,1911.0,no CPR land,True,T37-48 (parkland),,-106.9477,52.9732,
181,W3,7,49,R07,names-only,144,85,39.0,56.0,12,1911+,1930.0,no CPR land,True,T49+ (forest fringe),C,-106.9529,53.2358,
182,W3,7,52,R07,names-only,144,109,30.0,85.0,17,1911+,1911.0,no CPR land,True,T49+ (forest fringe),C,-106.9643,53.497,
183,W3,7,55,R07,empty,144,0,,0.0,12,1911+,1911.0,no CPR land,False,T49+ (forest fringe),C,-106.9737,53.7587,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
