station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
Melfort..... (See page 64),SASKATCHEWAN,52.85634,-104.60997,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,87000,,,,,,
Melfort..... (See page 65),SASKATCHEWAN,52.85634,-104.60997,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Melfort..... (also C.P.R.),SASKATCHEWAN,52.85634,-104.60997,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,172000,4,169000,,,,,,,,
Melita,MANITOBA,49.26806,-100.99583,cgn_direct,5,161000,5,161000,4,130000,4,120000,4,120000,4,110000,4,126000,4,136000,3,122400,4,147400,4,147400,5,147400,5,147400,,,,,4,128000,4,118000,3,108000,3,118000,3,95500,3,95500,6,191000,3,95500
Melville,SASKATCHEWAN,50.93043,-102.80784,cgn_direct,2,60000,1,,3,70000,1,,3,70000,1,,1,,3,70000,3,70000,1,,1,,1,,1,,3,75000,4,105000,4,105000,4,138000,4,139000,4,134000,3,125000,3,125000,6,230000,1,
Menaik,ALBERTA,52.75194,-113.52778,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,1,25000,1,25000,1,25000,2,55000,2,55000,2,55000,2,55000,2,55000,2,54000,2,54000,4,108000,2,54000
Mendham,SASKATCHEWAN,50.77227,-109.66426,cgn_direct,,,,,,,,,,,,,,,,,,,,,2,60000,6,160000,5,150000,5,150000,5,145000,5,145000,1,,5,145000,5,145000,5,140000,5,140000,10,284000,5,142000
Mennon,SASKATCHEWAN,52.43481,-106.78383,cgn_direct,,,,,,,1,25000,1,25000,1,30000,,,2,60000,2,65000,1,,2,60000,2,60000,2,60000,1,,2,60000,2,60000,3,96000,3,96000,3,91000,3,93000,3,93000,6,186000,1,
Menteith,MANITOBA,49.55889,-100.44278,cgn_direct,1,25000,1,25000,1,25000,1,25000,1,25000,1,20000,,,,,,,1,20000,1,20000,1,20000,1,20000,,,,,1,40000,1,40000,1,40000,1,40000,1,40000,1,40000,2,80000,1,40000
Mentieth,MANITOBA,49.55889,-100.44278,agent_high,,,,,,,,,,,,,1,20000,1,20000,1,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentmore,MANITOBA,50.13278,-99.56667,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40000,1,40000,1,40000,1,40000,1,40000,1,40000,2,80000,1,40000
Menzie,MANITOBA,50.53139,-100.49028,cgn_direct,,,,,,,,,1,25000,,,,,,,2,66000,2,66000,2,66000,2,66000,2,66000,2,66000,2,66000,2,66000,2,66000,1,,2,66000,2,62000,2,60000,4,124000,2,62000
Menzies,MANITOBA,50.53139,-100.49028,agent_high,2,55000,2,55000,1,25000,1,25000,,,1,25000,1,25000,1,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meota,SASKATCHEWAN,53.03358,-108.45821,cgn_direct,,,1,30000,1,30000,1,30000,1,30000,1,30000,,,2,55000,2,55000,1,,2,55000,2,55000,2,55000,1,,2,55000,3,87000,3,92000,3,127000,3,158000,3,160000,3,161000,6,322000,1,
Merid,SASKATCHEWAN,51.43501,-109.88766,cgn_direct,,,,,1,30000,1,30000,1,30000,1,25000,,,2,55000,2,55000,1,,2,55000,2,55000,2,55000,1,,2,55000,1,25000,2,60000,2,65000,2,65000,2,56000,2,56000,4,120000,1,
Mervin,SASKATCHEWAN,53.33346,-108.87401,cgn_direct,,,,,,,1,30000,1,30000,1,,,,2,60000,3,90000,1,,3,135000,3,135000,3,135000,1,,3,135000,3,126000,3,133000,3,125600,3,123600,3,112000,3,112000,6,226000,1,
Meskanaw,SASKATCHEWAN,52.78188,-105.07884,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,85000,3,125000,3,145000,3,145000,6,290000,1,
Methen,MANITOBA,49.61917,-99.73444,agent_high,,,,,,,,,1,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methven,MANITOBA,49.61917,-99.73444,cgn_direct,2,71000,2,66000,2,70000,1,35000,,,1,35000,2,67000,2,67000,2,67000,1,35000,1,35000,1,35000,1,35000,,,,,1,35000,1,35000,1,35000,1,35000,1,27000,1,27000,2,54000,1,27000
